WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,1/6/20,International,Outdoor,Hard,1st Round,3,Kasatkina D.,Suarez Navarro C.,70,52,851,1048,6,3,3,6,6,2,2,1,Completed,1.61,2.2,1.63,2.4,1.67,2.4,1.61,2.3
1,Auckland,ASB Classic,1/6/20,International,Outdoor,Hard,1st Round,3,Pegula J.,Bellis C.,82,855,743,19,6,0,6,4,,,2,0,Completed,2.37,1.53,2.64,1.54,2.64,1.66,2.41,1.56
1,Auckland,ASB Classic,1/6/20,International,Outdoor,Hard,1st Round,3,Garcia C.,Townsend T.,46,77,1235,760,5,7,6,3,7,5,2,1,Completed,1.9,1.8,2.01,1.88,2.05,1.91,1.94,1.85
1,Auckland,ASB Classic,1/6/20,International,Outdoor,Hard,1st Round,3,Zidansek T.,Peterson R.,64,44,870,1275,7,6,7,6,,,2,0,Completed,3,1.36,3.49,1.35,3.6,1.36,3.29,1.33
1,Auckland,ASB Classic,1/6/20,International,Outdoor,Hard,1st Round,3,Teichmann J.,Ivanov V.,68,1001,855,12,6,4,6,3,,,2,0,Completed,1.04,13,1.07,10.25,1.08,13,1.06,9.42
1,Auckland,ASB Classic,1/6/20,International,Outdoor,Hard,1st Round,3,Gauff C.,Kuzmova V.,67,61,855,965,6,3,6,1,,,2,0,Completed,1.72,2,1.78,2.13,1.78,2.2,1.68,2.16
1,Auckland,ASB Classic,1/6/20,International,Outdoor,Hard,1st Round,3,Bouchard E.,Flipkens K.,262,72,223,819,7,5,7,5,,,2,0,Completed,2.5,1.5,2.9,1.46,2.95,1.58,2.72,1.45
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Martic P.,Arconada U.M.,15,135,2617,459,5,7,6,4,6,4,2,1,Completed,1.18,4.5,1.2,5.04,1.23,5.04,1.19,4.62
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Cornet A.,Bonaventure Y.,57,116,1015,574,4,6,7,5,6,3,2,1,Completed,1.5,2.5,1.57,2.54,1.63,2.56,1.54,2.45
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Anisimova A.,Kozlova K.,25,89,1734,710,6,3,6,4,,,2,0,Completed,1.25,3.75,1.26,4.2,1.3,4.2,1.25,3.86
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Williams S.,Giorgi C.,10,99,3935,680,6,3,6,2,,,2,0,Completed,1.22,4,1.24,4.51,1.26,5.3,1.22,4.21
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Siegemund L.,Mcnally C.,73,118,805,539,6,2,6,2,,,2,0,Completed,2,1.72,2.08,1.81,2.12,1.81,2.05,1.75
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Mchale C.,Li A.,86,145,720,414,7,5,6,2,,,2,0,Completed,2.37,1.53,2.53,1.58,2.8,1.7,2.42,1.55
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Hourigan P.M.,39,447,1353,92,6,1,6,0,,,2,0,Completed,1.03,15,1.02,19.14,1.03,24.25,1.02,15.27
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Davis L.,Lepchenko V.,63,170,874,354,7,6,6,2,,,2,0,Completed,1.57,2.25,1.69,2.28,1.71,2.39,1.64,2.23
1,Auckland,ASB Classic,1/7/20,International,Outdoor,Hard,1st Round,3,Goerges J.,Minnen G.,41,109,1331,599,6,1,7,6,,,2,0,Completed,1.57,2.25,1.65,2.37,1.67,2.54,1.59,2.33
1,Auckland,ASB Classic,1/8/20,International,Outdoor,Hard,2nd Round,3,Cornet A.,Martic P.,57,15,1015,2617,3,6,6,4,6,4,2,1,Completed,2.75,1.4,2.76,1.51,2.86,1.56,2.63,1.48
1,Auckland,ASB Classic,1/8/20,International,Outdoor,Hard,2nd Round,3,Pegula J.,Zidansek T.,82,64,743,870,6,2,6,3,,,2,0,Completed,1.53,2.37,1.6,2.5,1.68,2.5,1.57,2.38
1,Auckland,ASB Classic,1/8/20,International,Outdoor,Hard,2nd Round,3,Bouchard E.,Garcia C.,262,46,223,1235,6,4,6,4,,,2,0,Completed,2.5,1.5,2.8,1.5,2.8,1.56,2.61,1.49
1,Auckland,ASB Classic,1/8/20,International,Outdoor,Hard,2nd Round,3,Anisimova A.,Kasatkina D.,25,70,1734,851,6,2,6,4,,,2,0,Completed,1.4,2.75,1.49,2.83,1.52,2.9,1.46,2.68
1,Auckland,ASB Classic,1/9/20,International,Outdoor,Hard,2nd Round,3,Siegemund L.,Gauff C.,73,67,805,855,5,7,6,2,6,3,2,1,Completed,2.62,1.44,3.07,1.43,3.11,1.49,2.83,1.42
1,Auckland,ASB Classic,1/9/20,International,Outdoor,Hard,2nd Round,3,Williams S.,Mchale C.,10,86,3935,720,3,6,6,2,6,3,2,1,Completed,1.11,6.5,1.1,8.38,1.12,8.5,1.1,7.08
1,Auckland,ASB Classic,1/9/20,International,Outdoor,Hard,2nd Round,3,Goerges J.,Teichmann J.,41,68,1331,855,6,3,6,2,,,2,0,Completed,1.28,3.5,1.3,3.88,1.36,4,1.29,3.56
1,Auckland,ASB Classic,1/9/20,International,Outdoor,Hard,2nd Round,3,Wozniacki C.,Davis L.,39,63,1353,874,6,1,4,6,6,4,2,1,Completed,1.3,3.4,1.31,3.8,1.35,4.03,1.29,3.55
1,Auckland,ASB Classic,1/10/20,International,Outdoor,Hard,Quarterfinals,3,Pegula J.,Cornet A.,82,57,743,1015,6,0,3,2,,,1,0,Retired,2,1.8,2.14,1.81,2.25,1.85,2.04,1.77
1,Auckland,ASB Classic,1/10/20,International,Outdoor,Hard,Quarterfinals,3,Williams S.,Siegemund L.,10,73,3935,805,6,4,6,3,,,2,0,Completed,1.12,6,1.12,8.06,1.14,8.06,1.1,7.07
1,Auckland,ASB Classic,1/10/20,International,Outdoor,Hard,Quarterfinals,3,Wozniacki C.,Goerges J.,39,41,1353,1331,6,1,6,4,,,2,0,Completed,2,1.8,2.17,1.79,2.17,1.85,2.08,1.74
1,Auckland,ASB Classic,1/10/20,International,Outdoor,Hard,Quarterfinals,3,Anisimova A.,Bouchard E.,25,262,1734,223,6,2,3,6,6,4,2,1,Completed,1.3,3.5,1.3,4.02,1.33,4.03,1.28,3.66
1,Auckland,ASB Classic,1/11/20,International,Outdoor,Hard,Semifinals,3,Pegula J.,Wozniacki C.,82,39,743,1353,3,6,6,4,6,0,2,1,Completed,3.75,1.28,3.96,1.3,3.96,1.33,3.56,1.29
1,Auckland,ASB Classic,1/11/20,International,Outdoor,Hard,Semifinals,3,Williams S.,Anisimova A.,10,25,3935,1734,6,1,6,1,,,2,0,Completed,1.36,3.2,1.4,3.27,1.41,3.27,1.36,3.1
1,Auckland,ASB Classic,1/12/20,International,Outdoor,Hard,The Final,3,Williams S.,Pegula J.,10,82,3935,743,6,3,6,4,,,2,0,Completed,1.14,5.5,1.14,7.14,1.18,7.14,1.13,5.86
2,Brisbane,Brisbane International,1/6/20,Premier,Outdoor,Hard,1st Round,3,Strycova B.,Konta J.,31,12,1462,2825,6,2,3,6,6,3,2,1,Completed,2.62,1.44,2.76,1.5,2.8,1.53,2.64,1.48
2,Brisbane,Brisbane International,1/6/20,Premier,Outdoor,Hard,1st Round,3,Kenin S.,Sevastova A.,14,30,2740,1518,7,6,6,4,,,2,0,Completed,1.44,2.62,1.44,2.97,1.5,3.05,1.44,2.78
2,Brisbane,Brisbane International,1/6/20,Premier,Outdoor,Hard,1st Round,3,Riske A.,Muchova K.,19,21,2085,1846,6,4,6,2,,,2,0,Completed,2.5,1.5,2.76,1.5,2.91,1.57,2.56,1.5
2,Brisbane,Brisbane International,1/6/20,Premier,Outdoor,Hard,1st Round,3,Stosur S.,Kerber A.,98,18,683,2175,7,6,7,6,,,2,0,Completed,3.75,1.25,4.47,1.24,4.6,1.28,3.96,1.24
2,Brisbane,Brisbane International,1/6/20,Premier,Outdoor,Hard,1st Round,3,Tomljanovic A.,Hon P.,54,122,1045,500,6,2,4,6,6,4,2,1,Completed,1.4,2.75,1.47,2.85,1.5,3.35,1.44,2.74
2,Brisbane,Brisbane International,1/6/20,Premier,Outdoor,Hard,1st Round,3,Collins D.,Svitolina E.,27,5,1566,5075,6,1,6,1,,,2,0,Completed,6,1.12,5.71,1.17,6.35,1.18,5.56,1.14
